Title,Type,Amount,Category,Description,Date,PaymentMethod
Fuel Expense,EXPENSE,75,Transport,Vehicle fuel payment,2026-05-12T18:00:00.000Z,MOBILE_PAYMENT
Music Subscription,EXPENSE,14.99,Entertainment,Premium music plan,2026-05-15T00:00:00.000Z,AUTO_DEBIT
Investment Return,INCOME,250,Investment,Mutual fund profit,2026-05-20T10:00:00.000Z,BANK_TRANSFER

Annual Bonus,INCOME,3500,Salary,Performance bonus,2026-03-10T09:00:00.000Z,BANK_TRANSFER
Home Repair,EXPENSE,400,Home,Kitchen repair service,2026-02-15T14:00:00.000Z,CARD
Travel Booking,EXPENSE,850,Travel,Vacation flight tickets,2026-01-20T18:00:00.000Z,CARD

Freelance Dashboard,INCOME,1100,Freelance,Analytics dashboard development,2025-12-10T12:00:00.000Z,BANK_TRANSFER
Black Friday Shopping,EXPENSE,620,Shopping,Electronic gadgets purchase,2025-11-28T15:00:00.000Z,CARD
Photography Gig,INCOME,700,Side Hustle,Event photography payment,2025-10-22T17:00:00.000Z,CASH
Car Service,EXPENSE,280,Transport,Vehicle maintenance service,2025-09-12T10:00:00.000Z,CARD
Adobe Subscription,EXPENSE,30,Software,Creative tools subscription,2025-08-01T00:00:00.000Z,AUTO_DEBIT
App Development Contract,INCOME,2300,Freelance,Android application project,2025-07-15T11:00:00.000Z,BANK_TRANSFER
Online Store Revenue,INCOME,900,Business,E-commerce monthly sales,2025-06-20T16:00:00.000Z,OTHER
Coffee Meeting,EXPENSE,16,Food & Drink,Client discussion,2025-06-14T10:30:00.000Z,CASH
Health Insurance,EXPENSE,220,Insurance,Monthly insurance premium,2025-05-05T00:00:00.000Z,AUTO_DEBIT
Freelance Writing,INCOME,500,Freelance,Technical article writing,2025-04-10T13:00:00.000Z,BANK_TRANSFER
Furniture Purchase,EXPENSE,780,Shopping,Office chair and desk,2025-03-18T14:00:00.000Z,CARD
Stock Profit,INCOME,420,Investment,Stock market earnings,2025-02-20T11:00:00.000Z,BANK_TRANSFER
Grocery Purchase,EXPENSE,98,Groceries,Weekly groceries,2025-01-25T17:30:00.000Z,MOBILE_PAYMENT

Freelance Website,INCOME,1500,Freelance,Company website development,2025-01-10T10:00:00.000Z,BANK_TRANSFER
Movie Subscription,EXPENSE,12.99,Entertainment,Streaming service payment,2025-02-01T00:00:00.000Z,AUTO_DEBIT
Language Course,EXPENSE,199,Education,Online language training,2025-03-05T09:00:00.000Z,CARD
Affiliate Income,INCOME,320,Side Hustle,Affiliate marketing commission,2025-04-15T11:00:00.000Z,OTHER
Restaurant Bill,EXPENSE,75,Food & Drink,Family dinner outing,2025-05-18T20:00:00.000Z,CARD
Mobile Game Revenue,INCOME,260,Business,Game advertisement earnings,2025-08-21T13:00:00.000Z,BANK_TRANSFER
Charity Donation,EXPENSE,100,Donation,Community support donation,2025-10-01T12:00:00.000Z,CASH
Year End Bonus,INCOME,2000,Salary,Company annual bonus,2025-12-20T10:00:00.000Z,BANK_TRANSFER
